system_name,period_days
Kepler-1993,26.6565737
Kepler-207,1.611865
Kepler-163,7.810937
BD+15 2375,153.22
Kepler-1246,11.32271513
K2-49,2.77065
GJ 676 A,35.47358
Kepler-37,51.196
Kepler-1749,14.53409958
Kepler-245,7.49019
HIP 57274,32.03
TOI-431,12.46103
Kepler-999,5.991857017
Kepler-291,5.700786
Kepler-83,5.169796
TOI-2128,16.34136
Kepler-381,8.256299973
Kepler-1048,6.92101021
Kepler-1422,18.6051942
Kepler-148,1.729366
HD 73256,2690.0
Kepler-971,9.59070716
Kepler-1927,73.75039673
Kepler-57,11.6
Kepler-1093,89.722292
K2-323,24.93
Kepler-165,8.180848
HD 213519,11.12214
Kepler-164,10.945723
Kepler-229,16.068638
WTS-2,1.0187068
K2-242,6.51389
Kepler-1756,2.355750084
EPIC 206042996,0.354884
Kepler-857,85.35129427
HD 176986,6.4898
Kepler-1740,8.172400475
Kepler-713,7.411141
HD 67087,2374.0
CoRoT-35,3.22748
Kepler-1127,5.12330347
Kepler-616,90.4113556
Kepler-1284,0.664073806
HD 4760,434.0
Kepler-649,29.90722674
Kepler-1770,16.84189987
HD 99492,17.0503
Kepler-210,7.972513
Kepler-122,12.465988
Kepler-231,19.271566
Kepler-245,36.277108
Kepler-49,10.91
Kepler-1174,6.89225223
Kepler-178,9.576694
Kepler-373,16.725948
KOI-3503,31.828
